id,n1,n2,parent,name,counte,cumul
1,100,109,Colours,yellows,5,5
2,110,119,Colours,oranges,1,6
3,120,129,Colours,reds,7,13
4,130,139,Colours,blues & violets,3,16
5,140,149,Colours,greens,4,20
6,150,159,Colours,browns & blacks,7,27
7,160,199,Colours,gold and others,27,54
8,200,209,Preservatives,sorbates,3,3
9,210,219,Preservatives,benzoates,8,11
10,220,229,Preservatives,sulphites,8,19
11,230,239,Preservatives,phenols & formates (methanoates),5,24
12,240,259,Preservatives,nitrates,6,30
13,260,269,Preservatives,acetates (ethanoates),7,37
14,270,279,Preservatives,lactates,1,38
15,280,289,Preservatives,propionates (propanoates),6,44
16,290,299,Preservatives,others,3,47
17,300,305,Antioxidants & acidity regulators,ascorbates (vitamin C),5,5
18,306,309,Antioxidants & acidity regulators,Tocopherol (vitamin E),4,9
19,310,319,Antioxidants & acidity regulators,gallates & erythorbates,7,16
20,320,329,Antioxidants & acidity regulators,lactates,9,25
21,330,339,Antioxidants & acidity regulators,citrates & tartrates,15,40
22,340,349,Antioxidants & acidity regulators,phosphates,3,43
23,350,359,Antioxidants & acidity regulators,malates & adipates,13,56
24,360,369,Antioxidants & acidity regulators,succinates & fumarates,2,58
25,370,399,Antioxidants & acidity regulators,others,5,63
26,400,409,Thickeners; stabilisers & emulsifiers,alginates,9,9
27,410,419,Thickeners; stabilisers & emulsifiers,natural gums,8,17
28,420,429,Thickeners; stabilisers & emulsifiers,other natural agents,9,26
29,430,439,Thickeners; stabilisers & emulsifiers,polyoxyethene compounds,6,32
30,440,449,Thickeners; stabilisers & emulsifiers,natural emulsifiers,5,37
31,450,459,Thickeners; stabilisers & emulsifiers,phosphates,6,43
32,460,469,Thickeners; stabilisers & emulsifiers,cellulose compounds,12,55
33,470,489,Thickeners; stabilisers & emulsifiers,fatty acids & compounds,24,79
34,490,499,Thickeners; stabilisers & emulsifiers,others,5,84
35,500,509,pH regulators & anti-caking agents,mineral acids & bases,16,16
36,510,519,pH regulators & anti-caking agents,chlorides & sulphates,13,29
37,520,529,pH regulators & anti-caking agents,sulphates & hydroxides,10,39
38,530,549,pH regulators & anti-caking agents,alkali metal compounds,5,44
39,550,559,pH regulators & anti-caking agents,silicates,11,55
40,570,579,pH regulators & anti-caking agents,stearates & gluconates,7,62
41,580,599,pH regulators & anti-caking agents,others,3,65
42,620,629,Flavour enhancers,glutamates & guanylates,10,10
43,630,639,Flavour enhancers,inosinates,8,18
44,640,649,Flavour enhancers,others,1,19
45,900,909,Miscellaneous,waxes,11,11
46,910,919,Miscellaneous,synthetic glazes,2,13
47,920,929,Miscellaneous,improving agents,6,19
48,930,949,Miscellaneous,packaging gases,9,28
49,950,969,Miscellaneous,sweeteners,19,47
50,990,999,Miscellaneous,foaming agents,1,48
51,1000,1599,Additional chemicals,New chemicals that do not fall into standard classification schemes,39,39
